pipeline,resource,organisation,value,entity
open-space,,local-authority-eng:ESK,93,10700000
open-space,,local-authority-eng:ESK,310,10700001
open-space,,local-authority-eng:ESK,6586,10700002
open-space,,local-authority-eng:ESK,6603,10700003
open-space,,local-authority-eng:ESK,6908,10700004
open-space,,local-authority-eng:ESK,6910,10700005
open-space,,local-authority-eng:ESK,5296,10700006
open-space,,local-authority-eng:ESK,6264,10700007
open-space,,local-authority-eng:ESK,6590,10700008
open-space,,local-authority-eng:ESK,5624,10700009
open-space,,local-authority-eng:ESK,6272,10700010
open-space,,local-authority-eng:ESK,365,10700011
open-space,,local-authority-eng:ESK,8,10700012
open-space,,local-authority-eng:ESK,259,10700013
open-space,,local-authority-eng:ESK,83,10700014
open-space,,local-authority-eng:ESK,86,10700015
open-space,,local-authority-eng:ESK,18,10700016
open-space,,local-authority-eng:ESK,36,10700017
open-space,,local-authority-eng:ESK,99,10700018
open-space,,local-authority-eng:ESK,100,10700019
open-space,,local-authority-eng:ESK,42,10700020
open-space,,local-authority-eng:ESK,46,10700021
open-space,,local-authority-eng:ESK,6582,10700022
open-space,,local-authority-eng:ESK,6585,10700023
open-space,,local-authority-eng:ESK,6592,10700024
open-space,,local-authority-eng:ESK,6594,10700025
open-space,,local-authority-eng:ESK,6595,10700026
open-space,,local-authority-eng:ESK,6911,10700027
open-space,,local-authority-eng:ESK,6912,10700028
open-space,,local-authority-eng:ESK,374,10700029
open-space,,local-authority-eng:ESK,387,10700030
open-space,,local-authority-eng:ESK,5284,10700031
open-space,,local-authority-eng:ESK,5617,10700032
open-space,,local-authority-eng:ESK,2739,10700033
open-space,,local-authority-eng:ESK,5939,10700034
open-space,,local-authority-eng:ESK,316,10700035
open-space,,local-authority-eng:ESK,319,10700036
open-space,,local-authority-eng:ESK,71,10700037
open-space,,local-authority-eng:ESK,359,10700038
open-space,,local-authority-eng:ESK,367,10700039
open-space,,local-authority-eng:ESK,49,10700040
open-space,,local-authority-eng:ESK,51,10700041
open-space,,local-authority-eng:ESK,52,10700042
open-space,,local-authority-eng:ESK,57,10700043
open-space,,local-authority-eng:ESK,59,10700044
open-space,,local-authority-eng:ESK,106,10700045
open-space,,local-authority-eng:ESK,107,10700046
open-space,,local-authority-eng:ESK,108,10700047
open-space,,local-authority-eng:ESK,109,10700048
open-space,,local-authority-eng:ESK,111,10700049
open-space,,local-authority-eng:ESK,112,10700050
open-space,,local-authority-eng:ESK,114,10700051
open-space,,local-authority-eng:ESK,116,10700052
open-space,,local-authority-eng:ESK,117,10700053
open-space,,local-authority-eng:ESK,122,10700054
open-space,,local-authority-eng:ESK,125,10700055
open-space,,local-authority-eng:ESK,179,10700056
open-space,,local-authority-eng:ESK,181,10700057
open-space,,local-authority-eng:ESK,182,10700058
open-space,,local-authority-eng:ESK,320,10700059
open-space,,local-authority-eng:ESK,324,10700060
open-space,,local-authority-eng:ESK,327,10700061
open-space,,local-authority-eng:ESK,127,10700062
open-space,,local-authority-eng:ESK,134,10700063
open-space,,local-authority-eng:ESK,135,10700064
open-space,,local-authority-eng:ESK,183,10700065
open-space,,local-authority-eng:ESK,186,10700066
open-space,,local-authority-eng:ESK,187,10700067
open-space,,local-authority-eng:ESK,188,10700068
open-space,,local-authority-eng:ESK,190,10700069
open-space,,local-authority-eng:ESK,195,10700070
open-space,,local-authority-eng:ESK,196,10700071
open-space,,local-authority-eng:ESK,328,10700072
open-space,,local-authority-eng:ESK,329,10700073
open-space,,local-authority-eng:ESK,331,10700074
open-space,,local-authority-eng:ESK,333,10700075
open-space,,local-authority-eng:ESK,138,10700076
open-space,,local-authority-eng:ESK,139,10700077
open-space,,local-authority-eng:ESK,140,10700078
open-space,,local-authority-eng:ESK,335,10700079
open-space,,local-authority-eng:ESK,337,10700080
open-space,,local-authority-eng:ESK,338,10700081
open-space,,local-authority-eng:ESK,339,10700082
open-space,,local-authority-eng:ESK,340,10700083
open-space,,local-authority-eng:ESK,341,10700084
open-space,,local-authority-eng:ESK,141,10700085
open-space,,local-authority-eng:ESK,142,10700086
open-space,,local-authority-eng:ESK,143,10700087
open-space,,local-authority-eng:ESK,144,10700088
open-space,,local-authority-eng:ESK,145,10700089
open-space,,local-authority-eng:ESK,146,10700090
open-space,,local-authority-eng:ESK,147,10700091
open-space,,local-authority-eng:ESK,148,10700092
open-space,,local-authority-eng:ESK,149,10700093
open-space,,local-authority-eng:ESK,197,10700094
open-space,,local-authority-eng:ESK,201,10700095
open-space,,local-authority-eng:ESK,204,10700096
open-space,,local-authority-eng:ESK,205,10700097
open-space,,local-authority-eng:ESK,206,10700098
open-space,,local-authority-eng:ESK,207,10700099
open-space,,local-authority-eng:ESK,366,10700100
open-space,,local-authority-eng:ESK,369,10700101
open-space,,local-authority-eng:ESK,370,10700102
open-space,,local-authority-eng:ESK,371,10700103
open-space,,local-authority-eng:ESK,372,10700104
open-space,,local-authority-eng:ESK,152,10700105
open-space,,local-authority-eng:ESK,153,10700106
open-space,,local-authority-eng:ESK,156,10700107
open-space,,local-authority-eng:ESK,157,10700108
open-space,,local-authority-eng:ESK,159,10700109
open-space,,local-authority-eng:ESK,208,10700110
open-space,,local-authority-eng:ESK,209,10700111
open-space,,local-authority-eng:ESK,210,10700112
open-space,,local-authority-eng:ESK,211,10700113
open-space,,local-authority-eng:ESK,212,10700114
open-space,,local-authority-eng:ESK,355,10700115
open-space,,local-authority-eng:ESK,356,10700116
open-space,,local-authority-eng:ESK,358,10700117
open-space,,local-authority-eng:ESK,160,10700118
open-space,,local-authority-eng:ESK,162,10700119
open-space,,local-authority-eng:ESK,163,10700120
open-space,,local-authority-eng:ESK,164,10700121
open-space,,local-authority-eng:ESK,214,10700122
open-space,,local-authority-eng:ESK,216,10700123
open-space,,local-authority-eng:ESK,217,10700124
open-space,,local-authority-eng:ESK,219,10700125
open-space,,local-authority-eng:ESK,360,10700126
open-space,,local-authority-eng:ESK,364,10700127
open-space,,local-authority-eng:ESK,167,10700128
open-space,,local-authority-eng:ESK,169,10700129
open-space,,local-authority-eng:ESK,172,10700130
open-space,,local-authority-eng:ESK,220,10700131
open-space,,local-authority-eng:ESK,221,10700132
open-space,,local-authority-eng:ESK,222,10700133
open-space,,local-authority-eng:ESK,223,10700134
open-space,,local-authority-eng:ESK,224,10700135
open-space,,local-authority-eng:ESK,225,10700136
open-space,,local-authority-eng:ESK,227,10700137
open-space,,local-authority-eng:ESK,228,10700138
open-space,,local-authority-eng:ESK,229,10700139
open-space,,local-authority-eng:ESK,342,10700140
open-space,,local-authority-eng:ESK,344,10700141
open-space,,local-authority-eng:ESK,348,10700142
open-space,,local-authority-eng:ESK,350,10700143
open-space,,local-authority-eng:ESK,352,10700144
open-space,,local-authority-eng:ESK,174,10700145
open-space,,local-authority-eng:ESK,230,10700146
open-space,,local-authority-eng:ESK,231,10700147
open-space,,local-authority-eng:ESK,232,10700148
open-space,,local-authority-eng:ESK,233,10700149
open-space,,local-authority-eng:ESK,235,10700150
open-space,,local-authority-eng:ESK,237,10700151
open-space,,local-authority-eng:ESK,238,10700152
open-space,,local-authority-eng:ESK,241,10700153
open-space,,local-authority-eng:ESK,243,10700154
open-space,,local-authority-eng:ESK,60,10700155
open-space,,local-authority-eng:ESK,61,10700156
open-space,,local-authority-eng:ESK,62,10700157
open-space,,local-authority-eng:ESK,63,10700158
open-space,,local-authority-eng:ESK,64,10700159
open-space,,local-authority-eng:ESK,65,10700160
open-space,,local-authority-eng:ESK,66,10700161
open-space,,local-authority-eng:ESK,244,10700162
open-space,,local-authority-eng:ESK,245,10700163
open-space,,local-authority-eng:ESK,246,10700164
open-space,,local-authority-eng:ESK,247,10700165
open-space,,local-authority-eng:ESK,248,10700166
open-space,,local-authority-eng:ESK,249,10700167
open-space,,local-authority-eng:ESK,250,10700168
open-space,,local-authority-eng:ESK,252,10700169
open-space,,local-authority-eng:ESK,2,10700170
open-space,,local-authority-eng:ESK,3,10700171
open-space,,local-authority-eng:ESK,68,10700172
open-space,,local-authority-eng:ESK,69,10700173
open-space,,local-authority-eng:ESK,70,10700174
open-space,,local-authority-eng:ESK,72,10700175
open-space,,local-authority-eng:ESK,73,10700176
open-space,,local-authority-eng:ESK,74,10700177
open-space,,local-authority-eng:ESK,253,10700178
open-space,,local-authority-eng:ESK,254,10700179
open-space,,local-authority-eng:ESK,255,10700180
open-space,,local-authority-eng:ESK,256,10700181
open-space,,local-authority-eng:ESK,257,10700182
open-space,,local-authority-eng:ESK,4,10700183
open-space,,local-authority-eng:ESK,5,10700184
open-space,,local-authority-eng:ESK,6,10700185
open-space,,local-authority-eng:ESK,7,10700186
open-space,,local-authority-eng:ESK,9,10700187
open-space,,local-authority-eng:ESK,10,10700188
open-space,,local-authority-eng:ESK,11,10700189
open-space,,local-authority-eng:ESK,75,10700190
open-space,,local-authority-eng:ESK,77,10700191
open-space,,local-authority-eng:ESK,79,10700192
open-space,,local-authority-eng:ESK,81,10700193
open-space,,local-authority-eng:ESK,258,10700194
open-space,,local-authority-eng:ESK,260,10700195
open-space,,local-authority-eng:ESK,261,10700196
open-space,,local-authority-eng:ESK,262,10700197
open-space,,local-authority-eng:ESK,263,10700198
open-space,,local-authority-eng:ESK,264,10700199
open-space,,local-authority-eng:ESK,12,10700200
open-space,,local-authority-eng:ESK,13,10700201
open-space,,local-authority-eng:ESK,14,10700202
open-space,,local-authority-eng:ESK,15,10700203
open-space,,local-authority-eng:ESK,16,10700204
open-space,,local-authority-eng:ESK,82,10700205
open-space,,local-authority-eng:ESK,84,10700206
open-space,,local-authority-eng:ESK,85,10700207
open-space,,local-authority-eng:ESK,87,10700208
open-space,,local-authority-eng:ESK,88,10700209
open-space,,local-authority-eng:ESK,268,10700210
open-space,,local-authority-eng:ESK,269,10700211
open-space,,local-authority-eng:ESK,270,10700212
open-space,,local-authority-eng:ESK,272,10700213
open-space,,local-authority-eng:ESK,273,10700214
open-space,,local-authority-eng:ESK,275,10700215
open-space,,local-authority-eng:ESK,276,10700216
open-space,,local-authority-eng:ESK,277,10700217
open-space,,local-authority-eng:ESK,279,10700218
open-space,,local-authority-eng:ESK,17,10700219
open-space,,local-authority-eng:ESK,20,10700220
open-space,,local-authority-eng:ESK,21,10700221
open-space,,local-authority-eng:ESK,22,10700222
open-space,,local-authority-eng:ESK,24,10700223
open-space,,local-authority-eng:ESK,89,10700224
open-space,,local-authority-eng:ESK,90,10700225
open-space,,local-authority-eng:ESK,91,10700226
open-space,,local-authority-eng:ESK,94,10700227
open-space,,local-authority-eng:ESK,280,10700228
open-space,,local-authority-eng:ESK,282,10700229
open-space,,local-authority-eng:ESK,290,10700230
open-space,,local-authority-eng:ESK,293,10700231
open-space,,local-authority-eng:ESK,294,10700232
open-space,,local-authority-eng:ESK,298,10700233
open-space,,local-authority-eng:ESK,299,10700234
open-space,,local-authority-eng:ESK,300,10700235
open-space,,local-authority-eng:ESK,301,10700236
open-space,,local-authority-eng:ESK,303,10700237
open-space,,local-authority-eng:ESK,29,10700238
open-space,,local-authority-eng:ESK,30,10700239
open-space,,local-authority-eng:ESK,96,10700240
open-space,,local-authority-eng:ESK,97,10700241
open-space,,local-authority-eng:ESK,304,10700242
open-space,,local-authority-eng:ESK,307,10700243
open-space,,local-authority-eng:ESK,309,10700244
open-space,,local-authority-eng:ESK,32,10700245
open-space,,local-authority-eng:ESK,38,10700246
open-space,,local-authority-eng:ESK,40,10700247
open-space,,local-authority-eng:ESK,101,10700248
open-space,,local-authority-eng:ESK,102,10700249
open-space,,local-authority-eng:ESK,103,10700250
open-space,,local-authority-eng:ESK,104,10700251
open-space,,local-authority-eng:ESK,313,10700252
open-space,,local-authority-eng:ESK,314,10700253
open-space,,local-authority-eng:ESK,317,10700254
open-space,,local-authority-eng:ESK,44,10700255
open-space,,local-authority-eng:ESK,47,10700256
open-space,,local-authority-eng:ESK,48,10700257
open-space,,local-authority-eng:ESK,113,10700258
open-space,,local-authority-eng:ESK,318,10700259
open-space,,local-authority-eng:ESK,193,10700260
open-space,,local-authority-eng:ESK,180,10700261
open-space,,local-authority-eng:ESK,39,10700262
open-space,,local-authority-eng:ESK,35,10700263
open-space,,local-authority-eng:ESK,31,10700264
open-space,,local-authority-eng:ESK,450,10700265
open-space,,local-authority-eng:ESK,451,10700266
open-space,,local-authority-eng:ESK,458,10700267
open-space,,local-authority-eng:ESK,460,10700268
open-space,,local-authority-eng:ESK,466,10700269
open-space,,local-authority-eng:ESK,467,10700270
open-space,,local-authority-eng:ESK,80,10700271
open-space,,local-authority-eng:ESK,136,10700272
open-space,,local-authority-eng:ESK,56,10700273
open-space,,local-authority-eng:ESK,132,10700274
open-space,,local-authority-eng:ESK,133,10700275
open-space,,local-authority-eng:ESK,178,10700276
open-space,,local-authority-eng:ESK,2082,10700277
open-space,,local-authority-eng:ESK,468,10700278
open-space,,local-authority-eng:ESK,470,10700279
open-space,,local-authority-eng:ESK,484,10700280
open-space,,local-authority-eng:ESK,485,10700281
open-space,,local-authority-eng:ESK,486,10700282
open-space,,local-authority-eng:ESK,487,10700283
open-space,,local-authority-eng:ESK,5285,10700284
open-space,,local-authority-eng:ESK,481,10700285
open-space,,local-authority-eng:ESK,176,10700286
open-space,,local-authority-eng:ESK,488,10700287
open-space,,local-authority-eng:ESK,490,10700288
open-space,,local-authority-eng:ESK,493,10700289
open-space,,local-authority-eng:ESK,494,10700290
open-space,,local-authority-eng:ESK,123,10700291
open-space,,local-authority-eng:ESK,326,10700292
open-space,,local-authority-eng:ESK,191,10700293
open-space,,local-authority-eng:ESK,412,10700294
open-space,,local-authority-eng:ESK,110,10700295
open-space,,local-authority-eng:ESK,7217,10700296
open-space,,local-authority-eng:ESK,7218,10700297
open-space,,local-authority-eng:ESK,7219,10700298
open-space,,local-authority-eng:ESK,7220,10700299
open-space,,local-authority-eng:ESK,7221,10700300
open-space,,local-authority-eng:ESK,7222,10700301
open-space,,local-authority-eng:ESK,7223,10700302
open-space,,local-authority-eng:ESK,7224,10700303
open-space,,local-authority-eng:ESK,6904,10700304
open-space,,local-authority-eng:ESK,6905,10700305
open-space,,local-authority-eng:ESK,495,10700306
open-space,,local-authority-eng:ESK,496,10700307
open-space,,local-authority-eng:ESK,497,10700308
open-space,,local-authority-eng:ESK,498,10700309
open-space,,local-authority-eng:ESK,499,10700310
open-space,,local-authority-eng:ESK,805,10700311
open-space,,local-authority-eng:ESK,119,10700312
open-space,,local-authority-eng:ESK,2725,10700313
open-space,,local-authority-eng:ESK,354,10700314
open-space,,local-authority-eng:ESK,7225,10700315
open-space,,local-authority-eng:ESK,7226,10700316
open-space,,local-authority-eng:ESK,7227,10700317
open-space,,local-authority-eng:ESK,7228,10700318
open-space,,local-authority-eng:ESK,7229,10700319
open-space,,local-authority-eng:ESK,7230,10700320
open-space,,local-authority-eng:ESK,321,10700321
open-space,,local-authority-eng:ESK,175,10700322
open-space,,local-authority-eng:ESK,1,10700323
open-space,,local-authority-eng:ESK,95,10700324
open-space,,local-authority-eng:ESK,807,10700325
open-space,,local-authority-eng:ESK,808,10700326
open-space,,local-authority-eng:ESK,809,10700327
open-space,,local-authority-eng:ESK,810,10700328
open-space,,local-authority-eng:ESK,811,10700329
open-space,,local-authority-eng:ESK,812,10700330
open-space,,local-authority-eng:ESK,813,10700331
open-space,,local-authority-eng:ESK,137,10700332
open-space,,local-authority-eng:ESK,192,10700333
open-space,,local-authority-eng:ESK,334,10700334
open-space,,local-authority-eng:ESK,6907,10700335
open-space,,local-authority-eng:ESK,7231,10700336
open-space,,local-authority-eng:ESK,7232,10700337
open-space,,local-authority-eng:ESK,7233,10700338
open-space,,local-authority-eng:ESK,7234,10700339
open-space,,local-authority-eng:ESK,7235,10700340
open-space,,local-authority-eng:ESK,7236,10700341
open-space,,local-authority-eng:ESK,7237,10700342
open-space,,local-authority-eng:ESK,7238,10700343
open-space,,local-authority-eng:ESK,7239,10700344
open-space,,local-authority-eng:ESK,7240,10700345
open-space,,local-authority-eng:ESK,173,10700346
open-space,,local-authority-eng:ESK,5294,10700347
open-space,,local-authority-eng:ESK,6602,10700348
open-space,,local-authority-eng:ESK,6607,10700349
open-space,,local-authority-eng:ESK,814,10700350
open-space,,local-authority-eng:ESK,816,10700351
open-space,,local-authority-eng:ESK,817,10700352
open-space,,local-authority-eng:ESK,818,10700353
open-space,,local-authority-eng:ESK,820,10700354
open-space,,local-authority-eng:ESK,821,10700355
open-space,,local-authority-eng:ESK,7241,10700356
open-space,,local-authority-eng:ESK,7242,10700357
open-space,,local-authority-eng:ESK,7243,10700358
open-space,,local-authority-eng:ESK,7244,10700359
open-space,,local-authority-eng:ESK,7245,10700360
open-space,,local-authority-eng:ESK,7246,10700361
open-space,,local-authority-eng:ESK,373,10700362
open-space,,local-authority-eng:ESK,375,10700363
open-space,,local-authority-eng:ESK,376,10700364
open-space,,local-authority-eng:ESK,377,10700365
open-space,,local-authority-eng:ESK,379,10700366
open-space,,local-authority-eng:ESK,380,10700367
open-space,,local-authority-eng:ESK,381,10700368
open-space,,local-authority-eng:ESK,823,10700369
open-space,,local-authority-eng:ESK,825,10700370
open-space,,local-authority-eng:ESK,826,10700371
open-space,,local-authority-eng:ESK,827,10700372
open-space,,local-authority-eng:ESK,830,10700373
open-space,,local-authority-eng:ESK,832,10700374
open-space,,local-authority-eng:ESK,833,10700375
open-space,,local-authority-eng:ESK,3365,10700376
open-space,,local-authority-eng:ESK,3367,10700377
open-space,,local-authority-eng:ESK,3372,10700378
open-space,,local-authority-eng:ESK,3373,10700379
open-space,,local-authority-eng:ESK,4324,10700380
open-space,,local-authority-eng:ESK,4964,10700381
open-space,,local-authority-eng:ESK,7247,10700382
open-space,,local-authority-eng:ESK,7248,10700383
open-space,,local-authority-eng:ESK,7249,10700384
open-space,,local-authority-eng:ESK,7250,10700385
open-space,,local-authority-eng:ESK,7251,10700386
open-space,,local-authority-eng:ESK,7252,10700387
open-space,,local-authority-eng:ESK,7253,10700388
open-space,,local-authority-eng:ESK,7254,10700389
open-space,,local-authority-eng:ESK,7255,10700390
open-space,,local-authority-eng:ESK,7256,10700391
open-space,,local-authority-eng:ESK,7257,10700392
open-space,,local-authority-eng:ESK,7258,10700393
open-space,,local-authority-eng:ESK,388,10700394
open-space,,local-authority-eng:ESK,390,10700395
open-space,,local-authority-eng:ESK,391,10700396
open-space,,local-authority-eng:ESK,393,10700397
open-space,,local-authority-eng:ESK,834,10700398
open-space,,local-authority-eng:ESK,835,10700399
open-space,,local-authority-eng:ESK,836,10700400
open-space,,local-authority-eng:ESK,837,10700401
open-space,,local-authority-eng:ESK,842,10700402
open-space,,local-authority-eng:ESK,843,10700403
open-space,,local-authority-eng:ESK,4965,10700404
open-space,,local-authority-eng:ESK,4966,10700405
open-space,,local-authority-eng:ESK,4967,10700406
open-space,,local-authority-eng:ESK,4968,10700407
open-space,,local-authority-eng:ESK,7259,10700408
open-space,,local-authority-eng:ESK,7260,10700409
open-space,,local-authority-eng:ESK,394,10700410
open-space,,local-authority-eng:ESK,395,10700411
open-space,,local-authority-eng:ESK,398,10700412
open-space,,local-authority-eng:ESK,400,10700413
open-space,,local-authority-eng:ESK,844,10700414
open-space,,local-authority-eng:ESK,846,10700415
open-space,,local-authority-eng:ESK,848,10700416
open-space,,local-authority-eng:ESK,849,10700417
open-space,,local-authority-eng:ESK,852,10700418
open-space,,local-authority-eng:ESK,853,10700419
open-space,,local-authority-eng:ESK,854,10700420
open-space,,local-authority-eng:ESK,4969,10700421
open-space,,local-authority-eng:ESK,4970,10700422
open-space,,local-authority-eng:ESK,4971,10700423
open-space,,local-authority-eng:ESK,4973,10700424
open-space,,local-authority-eng:ESK,7261,10700425
open-space,,local-authority-eng:ESK,7262,10700426
open-space,,local-authority-eng:ESK,7263,10700427
open-space,,local-authority-eng:ESK,7264,10700428
open-space,,local-authority-eng:ESK,7265,10700429
open-space,,local-authority-eng:ESK,7266,10700430
open-space,,local-authority-eng:ESK,7267,10700431
open-space,,local-authority-eng:ESK,7268,10700432
open-space,,local-authority-eng:ESK,7269,10700433
open-space,,local-authority-eng:ESK,401,10700434
open-space,,local-authority-eng:ESK,402,10700435
open-space,,local-authority-eng:ESK,403,10700436
open-space,,local-authority-eng:ESK,404,10700437
open-space,,local-authority-eng:ESK,405,10700438
open-space,,local-authority-eng:ESK,856,10700439
open-space,,local-authority-eng:ESK,857,10700440
open-space,,local-authority-eng:ESK,858,10700441
open-space,,local-authority-eng:ESK,862,10700442
open-space,,local-authority-eng:ESK,863,10700443
open-space,,local-authority-eng:ESK,864,10700444
open-space,,local-authority-eng:ESK,7270,10700445
open-space,,local-authority-eng:ESK,7271,10700446
open-space,,local-authority-eng:ESK,7272,10700447
open-space,,local-authority-eng:ESK,7273,10700448
open-space,,local-authority-eng:ESK,7274,10700449
open-space,,local-authority-eng:ESK,7275,10700450
open-space,,local-authority-eng:ESK,7276,10700451
open-space,,local-authority-eng:ESK,7277,10700452
open-space,,local-authority-eng:ESK,7278,10700453
open-space,,local-authority-eng:ESK,7279,10700454
open-space,,local-authority-eng:ESK,7280,10700455
open-space,,local-authority-eng:ESK,7281,10700456
open-space,,local-authority-eng:ESK,7283,10700457
open-space,,local-authority-eng:ESK,7284,10700458
open-space,,local-authority-eng:ESK,7285,10700459
open-space,,local-authority-eng:ESK,7286,10700460
open-space,,local-authority-eng:ESK,7287,10700461
open-space,,local-authority-eng:ESK,406,10700462
open-space,,local-authority-eng:ESK,416,10700463
open-space,,local-authority-eng:ESK,417,10700464
open-space,,local-authority-eng:ESK,418,10700465
open-space,,local-authority-eng:ESK,419,10700466
open-space,,local-authority-eng:ESK,420,10700467
open-space,,local-authority-eng:ESK,423,10700468
open-space,,local-authority-eng:ESK,425,10700469
open-space,,local-authority-eng:ESK,866,10700470
open-space,,local-authority-eng:ESK,868,10700471
open-space,,local-authority-eng:ESK,1121,10700472
open-space,,local-authority-eng:ESK,1441,10700473
open-space,,local-authority-eng:ESK,1442,10700474
open-space,,local-authority-eng:ESK,1761,10700475
open-space,,local-authority-eng:ESK,427,10700476
open-space,,local-authority-eng:ESK,428,10700477
open-space,,local-authority-eng:ESK,429,10700478
open-space,,local-authority-eng:ESK,431,10700479
open-space,,local-authority-eng:ESK,2083,10700480
open-space,,local-authority-eng:ESK,2084,10700481
open-space,,local-authority-eng:ESK,2404,10700482
open-space,,local-authority-eng:ESK,2726,10700483
open-space,,local-authority-eng:ESK,2728,10700484
open-space,,local-authority-eng:ESK,7537,10700485
open-space,,local-authority-eng:ESK,435,10700486
open-space,,local-authority-eng:ESK,437,10700487
open-space,,local-authority-eng:ESK,439,10700488
open-space,,local-authority-eng:ESK,440,10700489
open-space,,local-authority-eng:ESK,2734,10700490
open-space,,local-authority-eng:ESK,2735,10700491
open-space,,local-authority-eng:ESK,2736,10700492
open-space,,local-authority-eng:ESK,6257,10700493
open-space,,local-authority-eng:ESK,171,10700494
open-space,,local-authority-eng:ESK,343,10700495
open-space,,local-authority-eng:ESK,166,10700496
open-space,,local-authority-eng:ESK,2724,10700497
open-space,,local-authority-eng:ESK,443,10700498
open-space,,local-authority-eng:ESK,444,10700499
open-space,,local-authority-eng:ESK,445,10700500
open-space,,local-authority-eng:ESK,447,10700501
open-space,,local-authority-eng:ESK,448,10700502
open-space,,local-authority-eng:ESK,194,10700503
open-space,,local-authority-eng:ESK,0,10700504
open-space,,local-authority-eng:ESK,6928,10700505
open-space,,local-authority-eng:ESK,6929,10700506
open-space,,local-authority-eng:ESK,6930,10700507
open-space,,local-authority-eng:ESK,6931,10700508
open-space,,local-authority-eng:ESK,6933,10700509
open-space,,local-authority-eng:ESK,6934,10700510
open-space,,local-authority-eng:ESK,6935,10700511
open-space,,local-authority-eng:ESK,6936,10700512
open-space,,local-authority-eng:ESK,6937,10700513
open-space,,local-authority-eng:ESK,6938,10700514
open-space,,local-authority-eng:ESK,6939,10700515
open-space,,local-authority-eng:ESK,6940,10700516
open-space,,local-authority-eng:ESK,6942,10700517
open-space,,local-authority-eng:ESK,6943,10700518
open-space,,local-authority-eng:ESK,6944,10700519
open-space,,local-authority-eng:ESK,6945,10700520
open-space,,local-authority-eng:ESK,6946,10700521
open-space,,local-authority-eng:ESK,6947,10700522
open-space,,local-authority-eng:ESK,6948,10700523
open-space,,local-authority-eng:ESK,6949,10700524
open-space,,local-authority-eng:ESK,6950,10700525
open-space,,local-authority-eng:ESK,6951,10700526
open-space,,local-authority-eng:ESK,6952,10700527
open-space,,local-authority-eng:ESK,6953,10700528
open-space,,local-authority-eng:ESK,6954,10700529
open-space,,local-authority-eng:ESK,6955,10700530
open-space,,local-authority-eng:ESK,6956,10700531
open-space,,local-authority-eng:ESK,6957,10700532
open-space,,local-authority-eng:ESK,6959,10700533
open-space,,local-authority-eng:ESK,6961,10700534
open-space,,local-authority-eng:ESK,6962,10700535
open-space,,local-authority-eng:ESK,6963,10700536
open-space,,local-authority-eng:ESK,6964,10700537
open-space,,local-authority-eng:ESK,6965,10700538
open-space,,local-authority-eng:ESK,6966,10700539
open-space,,local-authority-eng:ESK,6967,10700540
open-space,,local-authority-eng:ESK,6968,10700541
open-space,,local-authority-eng:ESK,6969,10700542
open-space,,local-authority-eng:ESK,6970,10700543
open-space,,local-authority-eng:ESK,6971,10700544
open-space,,local-authority-eng:ESK,6914,10700545
open-space,,local-authority-eng:ESK,6915,10700546
open-space,,local-authority-eng:ESK,6916,10700547
open-space,,local-authority-eng:ESK,6917,10700548
open-space,,local-authority-eng:ESK,6918,10700549
open-space,,local-authority-eng:ESK,6919,10700550
open-space,,local-authority-eng:ESK,6920,10700551
open-space,,local-authority-eng:ESK,6921,10700552
open-space,,local-authority-eng:ESK,6922,10700553
open-space,,local-authority-eng:ESK,6923,10700554
open-space,,local-authority-eng:ESK,6924,10700555
open-space,,local-authority-eng:ESK,6925,10700556
open-space,,local-authority-eng:ESK,6926,10700557
open-space,,local-authority-eng:ESK,6927,10700558
open-space,,local-authority-eng:ESK,7538,10700559
